name,price,status,shipping,free_returns,items_sold
"Nike Lebron 19 Shoes ""Greatness"" Phantom Canyon Purple CZ0203-004 Men Size 10",9800,New (Other),1495,False,False
Nike LeBron 21 Conchiolin White Black James Basketball Retro HF5841-100 Men Size,8990,Brand New,1495,False,False
James LeBron MEN Stitched Jersey Purple,35493949,Brand New,599,False,False
Nike LeBron 21 PRM Grandma’s Couch Pack Pearl Playfull Pink FV7275-401 Men’s 9.5,9500,Brand New,1495,False,False
2024 Donruss Basketball Winter Edition - BASE - RATED ROOKIES PYC! FREE SHIPPING,99424,Pre-Owned,0,False,False
Nike Men LeBron James Witness VIII ARMORY NAVY/CYBER-GREEN  FB2239 402 sz10.5-13,5997,New (Other),0,True,False
2023-24 Panini NBA POD Player of the Day You Pick/Choose Complete Your Set,100,Pre-Owned,150,False,False
New Listing,11499,New (Other),1495,False,False
2024-25 Panini Prizm Monopoly Basketball - Complete Your Set!!,122382,Pre-Owned,0,False,False
2009-10 Upper Deck Basketball Card Pick,992000,Pre-Owned,150,True,False
"LeBron James Los Angeles Lakers Black Mamba, Size Small",2500,Pre-Owned,701,False,False
Nike LeBron 10 Cutting Jade 2012 Size 10,3500,Pre-Owned,1328,False,False
LeBron James (Black) Life Size Cutout,7997,Brand New,1997,False,False
New Listing,11499,Brand New,1495,False,False
One Touch Stickers - 40 to 50 Stickers - Premium Vinyl - See Details,500675,Brand New,490,True,False
2009-10 Upper Deck Draft Edition Alma Mater LeBron James #AM-LJ,323,Pre-Owned,299,False,False
2004-05 SP Authentic LeBron James #14 Cleveland Cavs,600,Pre-Owned,115,False,False
New Listing,6500,Pre-Owned,1000,False,False
MICHAEL JORDAN & other STARS - pick your card - vintage/parallels/inserts,99329,Pre-Owned,111,False,False
New Listing,10999,New (Other),1495,False,False
2023-24 Panini Phoenix Basketball INSERTS (BUY 3 GET 1 FREE) You PIck/Choose NBA,99175,Pre-Owned,0,False,False
New Listing,10449,New (Other),1495,False,False
Nike Lebron Witness VI - “White/Black-Persian Violet” - Size 9 (Brand New),5500,Brand New,0,False,False
"2018-19 Panini Adrenalyn XL Lebron James #C67, Los Angeles Lakers",138,Pre-Owned,99,True,False
New Listing,16700,Brand New,1495,False,False
2023-24 Select LeBron James Blue Silver Holo  Prizm Concourse Los Angeles Lakers,499,Pre-Owned,199,False,False
Nike lebron 13 black,8000,Pre-Owned,799,False,False
