name,price,status,shipping,free_returns,items_sold
"NEW Milwaukee FUEL 2904-20 18V 1/2"" Cordless Brushless Hammer Drill M18",12397,Brand New,0,True,265
"New DEWALT DCD805B 20V 20 Volt MAX XR Brushless 1/2"" Hammer Drill Driver",8499,Brand New,0,False,487
Dewalt 20 V Max Li-Ion Compact Drill/driver Kit,9900,Brand New,649,True,160
Triangle Shank Diamond Drilling Bit Kit 11pcs Hole Saw Set for Tile Granite,5873,Brand New,0,True,False
21V Cordless Electric Drill Set 2 Batteries 3/8-Inch Chuck Driver Bits and Tool,4299,Brand New,0,False,False
DEWALT DCD999 20V Cordless Hammer Drill FLEXVOLT 60/20V  (TOOL ONLY),10399,Brand New,0,False,464
RYOBI  HP 18V Brushless Cordless 1/2 in. Drill/Driver and Impact Driver Kit w/,12500,Open Box,0,True,18
DeWalt DCD996 20V Max XR Brushless 3-Speed Cordless 1/2 Hammer Drill 20 Volt,12297,Open Box,0,True,3724
"New Dewalt DCD999B 20V Max XR 1/2"" Flexvolt Advantage Brushless Hammer Drill ",12499,Brand New,0,True,1863
Hart HPDD02 20-Volt Cordless 1/2-inch Drill/Driver - Tool Only - Free Shipping!,1497,Brand New,0,False,False
RYOBI ONE+ 18V Cordless 3/8 in. Drill/Driver Kit with 1.5 Ah Battery and Charger,3899,Pre-Owned,0,True,478
"DEWALT DCD460T2 60V  1/2""  Joist Drill with E-Clutch System Kit With 2 Batts",45999,Open Box,2000,True,False
DeWalt DCD777B 20V MAX Brushless Cordless 1/2 in. Drill/Driver (Tool Only),6349,Brand New,0,False,156
"Milwaukee 3601-20 M18 Brushless 1/2"" Drill/ Driver**Tool Only***",6899,Open Box,0,False,145
"RYOBI PSBDD02 ONE+ 18V Brushless Compact 1/2"" in. Drill / Driver - New",4499,Open Box,0,True,False
21V Electric Drill Power Tool Cordless Screwdriver 34PCS Drill Set with Battery,4079,Brand New,0,False,279
NEW DEWALT DCD999 20v MAX 1/2” 3 Speed Hammer Drill Flexvolt Adv Dcd999b 20 Volt,10150,Open Box,0,False,44
DeWALT DCD999T1 20V MAX Cordless 1/2 in. Hammer Drill/Driver Kit - NEW!,21999,Brand New,0,True,56
RYOBI ONE+ 18V 3/8 in Drill/Driver Kit 1.5 Ah Battery & Charger PCL201K1 (OB),4180,Open Box,0,True,False
Cordless Brushless Impact Driver Hammer Drill Combo Kit with 2 Battery & Charger,3198,Brand New,0,False,69
DEWALT 20V Max Cordless Drill/Driver Kit 2 Batteries Charger Included DCD771C2,9899,Brand New,0,False,False
21 Volt Drill 2 Speed Electric Cordless Drill / Driver with Bits Set DIY Gift US,3059,Brand New,0,False,False
New Listing,3900,Pre-Owned,800,False,False
New Listing,11900,Open Box,0,False,False
48V Cordless Drill Electric Screwdriver Impact Driver Combi Drills Kit+Battery,2989,Brand New,0,True,False
"New Makita 18V XPH14 Cordless Brushless 1/2"" Hammer Drill 18 Volt Lit-Ion XPH14Z",8897,Brand New,0,True,2437
Drill Cordless,2400,Brand New,600,False,False
"New Dewalt DCD794B 20V Max 1/2"" Atomic Compact 2 Speed Brushless Drill Driver",7649,Brand New,0,True,151
"Milwaukee 2904-22 M18 FUEL™ 1/2"" Hammer Drill/Driver Kit",23000,Brand New,0,False,13
New Listing,19999,Brand New,2489,False,False
36V Cordless Hammer Drill Set Electric Impact Driver Screwdriver + 2 Battery US,3586,Brand New,0,True,False
Dewalt DCF860 Cordless Compact Drill / Driver 20V Brushless Electric Drill Screw,9999,Brand New,0,False,False
"Drill Bit Sharpener, Power Drill Bit Grinding Attachment, Old Drill Bit Grinder",4993777,Brand New,0,False,False
"DeWALT DCD771B 20V MAX Cordless Li-Ion 1/2"" inch Cordless Compact Drill Driver",5575,Open Box,0,True,386
"New Dewalt DCD1007B 20V 20 Volt Max XR 1/2""  Brushless Hammer Drill with Handle",17279,Brand New,0,True,False
21V Electric Drill 3/8in Power Cordless Screwdriver 30PCS Drill Set w/2Battery,2936,Brand New,0,True,False
"New Dewalt DCD996B 20V 20 Volt Max XR 1/2""  Brushless Hammer Drill with Handle",11199,Brand New,0,False,213
Ryobi One+ 18V 3/8 in Drill Driver W/ Lithium 1.5 Ah Battery & Charger PCL201K1,4495,Open Box,0,True,61
Drill Hog® 29 Pc Drill Bit Set Bit Tank™ HI-Molybdenum M7 Lifetime Warranty,5999,Brand New,0,True,748
"Drilax 3 inch Diamond Hole Saw Drill Bit Marble, Concrete, Stone, Tile, Brick",2999,Brand New,0,False,57
Drilax 4 inch Diamond Hole Saw Drill Core Bit Heavy Duty Brick Masonry Concrete,4499,Brand New,0,False,158
Drilax 4 inch Diamond Hole Saw Drill Core Bit Heavy Duty Brick Masonry Concrete,4499,Brand New,0,False,158
"Torx Insert Bit T-20 2"" (10 Pack)",1347,Brand New,0,False,False
"Bosch 2608619266 Pack of 10 Straight Cutting Disc,for INOX, X-Lock, 115 mm",2299,Brand New,0,False,7
Makita LXT 18V LXT Li-Ion 1/2 in. Drill Driver XFD10Z-R Certified Refurbished,6964,Certified - Refurbished,0,True,250
Ryobi One+ 18V 3/8 in Drill Driver W/ Lithium 1.5 Ah Battery & Charger PCL201K1,4495,Open Box,0,True,61
Drill Hog® 29 Pc Drill Bit Set Bit Tank™ HI-Molybdenum M7 Lifetime Warranty,5999,Brand New,0,True,748
"Milwaukee 2607-21CT M18 1/2"" Hammer Drill/Driver Kit w/ 1.5 Ah Battery | New",11984,Open Box,0,False,False
DeWalt DCD771C2 20V MAX Lithium-Ion Compact Drill/Driver Kit with 2 Batteries,False,Brand New,0,True,False
"20V cordless brushless 1/2"" hammer  2 speed settings for Dewalt 20V battery",5399,Brand New,0,True,45
"Ryobi PSBDD01 One+ HP 18V Brushless Cordless Compact 1/2"" Drill / Driver",4499,Open Box,0,True,False
"New DeWalt 20 Volt 20v Max XR Brushless Cordless 1/2"" Hammer Drill/Driver DCD996",11499,Open Box,0,True,491
 Cordless 2-Speed Drill Driver with 1.5Ah Battery and Charger,2100,Brand New,0,False,False
"6"" -10"" Inch Hole Saw w Arbor for Metal Wood & Plastic Cutting Bi-Metal Hole Cut",16995699,Brand New,0,False,False
2-1/2  inch Chrome Series Diamond Hole Saw Drill Bit,1999,Brand New,0,False,False
Drilax 2 Inch Diamond Hole Saw with Removable Center Pilot Drill Locator Pin,3294,Brand New,0,False,False
"Phillips PH3 1"" Power Bits (15 Pack)",1297,Brand New,0,False,False
Blue Ridge Tools Cordless 20V Drill Light Kit Ergonomic Design DIY Projects,3889,Open Box,0,True,False
New Listing,16495,Brand New,0,False,False
New Milwaukee 2407-20 M12 12V 12 Volt 3/8” 2 Speed Drill Driver (Bare Tool),4059,Brand New,0,True,227
"FLEX 24V FX1151 Brushless 1/2"" Drill Driver 2 Speed- New From Larger Kit",3995,Open Box,0,False,False
Milwaukee 2505-20 M12 Installation Drill/Driver***Tool Only***NO CARRYING BAG***,9999,Open Box,0,False,55
"DeWalt DCD794D1 Compact Brushless 1/2"" Drill/Driver Kit New",9789,Brand New,0,False,False
New DEWALT DCD771C2 20V MAX Li-Ion 1/2 in. Cordless Drill / Driver Kit (1.3 Ah),12500,Brand New,0,True,94
New Listing,2299,Pre-Owned,0,False,False
"NEW DEWALT DCD777 20V Volt Max Li-Ion Brushless 1/2"" Drill/Driver w/ Belt Clip",5995,Open Box,0,True,False
Ryobi PBLHM101B One 18V Brushless Hammer Drill,8000,Brand New,1107,False,False
"Ryobi PCL206K2 ONE+ 18V 1/2"" Drill/Driver Kit",6193,Open Box,0,True,False
Milwaukee 2415-20 M12 12-Volt 3/8-Inch Cordless Right Angle Drill/Driver,8299,Brand New,0,True,False
DEWALT DCD740B 20V MAX Li-Ion 3/8 in. Right Angle Drill Driver New,False,Brand New,0,True,306
Bosch GSR18V-190B22-RT 18V 1/2 in. Drill Kit Certified Refurbished,8586,Certified - Refurbished,0,True,False
"Flap Wheel Set Die Grinder Sanding Paint Rust 1/8"" Shank For Dremel Rotary Tool",12992569,Brand New,0,True,False
"Torx Insert Bit T-15 1"" (250 Pack)",8199,Brand New,0,False,False
"ACDelco 20V Cordless Drill Set, 2 Variable Speed, 400/1300RPM, Driver Bits",3999,Brand New,0,False,False
"NEW Milwaukee FUEL 3404-20 12V 1/2"" Cordless Brushless Hammer Drill M12 Driver",6997,Brand New,0,True,55
"8 Pc Silver & Deming Drill Bit Set 9/16"" ~ 1"" Jumbo Drill Hog® Lifetime Warranty",5999,Brand New,0,True,443
"29PCS/Set HSS Drill Bits Black Gold Multi-Bits Twist Metal Drill Bit 1/16""-1/2""",3999,Brand New,0,True,146
"NEW BOSCH PS31 12 Volt 2 Speed Cordless Li-Ion 3/8"" Drill Driver (bare tool)",4495,Brand New,0,True,122
"Milwaukee 0240-20 3/8"" Electric Drill",4499,Open Box,0,False,39
"Bosch PS31-2A-RT 3/8"" 12V Max Li-Ion Cordless Drill Driver Certified Refurbished",8686,Certified - Refurbished,0,True,857
5/8 Diamond Hole Saw Kit Core Drill Bit Set for Tile Porcelain Ceramic Marble,6917,Brand New,0,False,False
DEWALT DCD778B 20V MAX Cordless Brushless 1/2-in Compact Hammer Drill TOOL ONLY,7299,Open Box,0,False,497
"New DeWalt 20v Max Cordless 3/8"" Right Angle Drill/Driver DCD740B 90 Degree",11399,Brand New,0,True,120
BLACK+DECKER 12v Max* Cordless Lithium Drill/Driver - BDCDD12C,2999,Brand New,0,False,False
"Milwaukee 2904-20 M18 FUEL 1/2"" Hammer Drill w/ Side Handle (Tool only) (New)",12395,Open Box,0,False,False
"DEWALT DCD800 20V MAX XR Cordless Drill/Driver, 1/2-in, Bare Tool Only",9806,Open Box,0,True,13
New DeWALT DCD1007 20V XR Plug 3-Speed 1/2” Hammer Drill/Driver - Bare Tool,17800,Open Box,0,False,25
"New Makita 18V XFD10 Cordless 1/2"" Battery Drill Driver 18 Volt LXT XFD10Z",6997,Brand New,0,True,610
"Milwaukee 3602-20 M18 Brushless 1/2"" Hammer Drill/ Driver**Tool Only***",7799,Open Box,0,False,False
"New Milwaukee M18 3602-20 18V 1/2"" Compact Brushless Hammer Drill Driver 2 Speed",8739,Brand New,0,True,False
"Milwaukee 2407-20 NEW M12 12V Li-Ion Cordless 3/8"" Drill/Driver - Bare Tool",3799,Open Box,299,False,436
"Bauer 20V (Drill/Driver, Hammer Drill/Driver & Hex Compact) - Tools Only -",7999,Brand New,0,False,False
DEWALT DCD996B 20V MAX XR Li-Ion 1/2 in. 3-Speed Hammer Drill/Driver with CASE!!,11200,Brand New,0,False,69
Electric Drill Power Tool Cordless Screwdriver Power Tools Drill Set W/ Battery,24993559,Brand New,0,True,False
"NEW In BOX Milwaukee FUEL 2904-20 18V 1/2"" Cordless Brushless Hammer Drill M18",13997,Brand New,0,True,708
CRAFTSMAN V20 Cordless 1/2-in Drill/Driver CMCD700  (TOOL ONLY) NEW,4699,Brand New,0,True,7
WORKPRO 8V Pink Cordless Drill Driver 43PCS Tool Set Lithium-ion Power Drill Bit,6399,Brand New,0,True,False
Milwaukee M12 FUEL Hammer Drill Driver 3404-20 + XC4.0 Battery 4.0 Ah NEW GEN 3,10198,Open Box,299,True,895
"Milwaukee 2407-20 M12 Drill Driver 12V Li-Ion Cordless 3/8"" - NEW",4097,Open Box,0,True,False
29 Pc Drill Bit Set HI-Molybdenum M7 Orange Case Drill Hog® Lifetime Warranty,5999,Brand New,0,True,559
New Listing,2299,Pre-Owned,0,False,False
"NEW BOSCH PS31 12 Volt 2 Speed Cordless Li-Ion 3/8"" Drill Driver (bare tool)",4299,Open Box,0,False,False
8 PCS HSS Cobalt Silver and Deming Drill Bits Set Large Size 9/16 inch to 1 inch,2999,Brand New,0,True,1714
Ryobi ONE+ 18V 1/2 in Drill Driver 2 Speed Two 1.5 Ah Batteries Charger PCL206K2,7495,Open Box,0,True,26
48IN1 Cordless Electric Screwdriver Drill Power Tool Kit w/ Rechargeable Battery,2698,Brand New,0,False,990
"BLACK+DECKER 20V MAX Matrix Cordless Drill/Driver Kit, White - BDCDMT120WC1FF",5999,Brand New,0,False,False
"Milwaukee M12 FUEL 1/2"" Hammer Drill 3404-20 + Impact Driver 3453-20 - Brand NEW",14498,Open Box,299,True,665
Milwaukee Fuel 2866-20 M18 Cordless Drywall Screwgun Drill Brushless 18 Volt,9999,Brand New,0,True,431
"Milwaukee M18 1/2"" Drill / Driver 2606-20  * BRAND NEW *",7499,Open Box,0,True,231
New Listing,4500,Pre-Owned,645,False,False
"New DCD740B DeWalt 20v Max Cordless 3/8"" Right Angle 90 Degree Drill Driver ",11063,Open Box,0,False,False
"Milwaukee 2903-20 M18 FUEL 1/2"" Drill/Driver",False,Brand New,0,False,39
"NEW Milwaukee M12 2407-20 3/8"" Cordless Drill Driver 12V 12 Volt 2 Speed",4297,Brand New,0,True,121
"Craftsman CMCD731B 20V 1/2"" Cordless Brushless Hammer Drill (Tool Only) New",5500,Brand New,800,False,19
DEWALT 12 Volt DCD706B 12V MAX Brushless 3/8-in Cordless Hammer Drill TOOL ONLY,6499,Open Box,0,False,False
Klein Tools Flex Bit Auger with Screw Point 3/4 x 54-Inch 3/4-in Flex Auger Bit,4799,Brand New,0,False,False
4 inch Diamond Hole Saw Concrete Heavy Duty Gold Series Standard 3/8 Shank,4999,Brand New,0,False,False
Black Oxide 1/8 drill bit (10 Pack),1297,Brand New,0,False,False
"Torx Insert Bit T-10 1"" (250 Pack)",8199,Brand New,0,False,False
10-16pc Diamond Hole Saw Drill Bits Set Glass Ceramic Tile Marble 1/4 to 2 Inch,15222444,Brand New,0,True,False
Hex 3/16 2-inch Powert Bit (10 Pack),1347,Brand New,0,False,False
New & Sealed | DEWALT Black & Gold Drill Bit Set - 14 Pieces,1699,Brand New,0,False,False
Milwaukee 2407-20 M12 3/8” Drill/Driver - TOOL ONLY - NEW,3599,Open Box,0,True,False
"Milwaukee 3601-22CT M18 18V 1/2"" Compact Brushless Drill/Driver Kit",19900,Brand New,0,True,42
"NEW DEWALT DCD794 20V MAX 1/2"" Atomic Compact 2-Speed Brushless Drill Driver",7495,Open Box,0,False,49
New Listing,12000,Open Box,0,True,False
20V Cordless Drill 3/8”Electric Screwdriver Mini Wireless Power Driver W/Battery,2990,Brand New,0,True,147
"Milwaukee 2494-22 M12 Cordless Combo Drill Kit, 2 Battery",False,Brand New,0,True,False
NEW Milwaukee FUEL Drill 2903-20 18V 1/2 Cordless Brushless M18 Driver Tool Only,14497,Brand New,0,True,704
3-1/2 inch Chrome Series Diamond Hole Saw Drill Bit,3594,Brand New,0,False,False
